,Sample1,Sample2,Sample3,Sample4,Sample5
Sample1,0.0,0.972206143045,0.919481487912,1.00414746415,0.947573039176
Sample2,0.972206143045,0.0,0.937889869275,0.953656998404,0.928848805566
Sample3,0.919481487912,0.937889869275,0.0,0.976129743759,0.912133858201
Sample4,1.00414746415,0.953656998404,0.976129743759,0.0,0.963606111413
Sample5,0.947573039176,0.928848805566,0.912133858201,0.963606111413,0.0
